Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,016E+11;2;1;0;0;2;8;2;A02
2,016E+11;2;7;0;1;0;7;0;A01
2,016E+11;2;10;0;2;0;3;14;A01
2,016E+11;1;7;0;0;2;6;6;B02
2,016E+11;1;7;0;0;2;1;6;A01
2,016E+11;2;7;0;0;2;7;1;B02
2,016E+11;2;30;0;0;2;1;1;A01
2,016E+11;2;7;0;0;2;3;1;A01
2,016E+11;1;7;0;0;2;3;13;B02
2,016E+11;2;7;0;6;0;8;13;A01
2,016E+11;0;33;0;0;0;0;0;A01
2,016E+11;1;7;0;13;0;1;1;A01
2,016E+11;0;7;0;8;0;7;13;A01
2,016E+11;0;33;0;0;2;1;1;B02
2,016E+11;0;21;0;0;2;2;15;A01
2,016E+11;0;7;0;0;2;1;1;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;2;7;0;0;2;2;1;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;0;7;0;0;1;1;21;A01
2,016E+11;0;33;0;0;2;1;1;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;0;7;0;2;0;1;1;A01
2,016E+11;0;7;0;0;1;2;15;A01
2,016E+11;2;7;0;0;0;1;0;C03
2,016E+11;2;7;0;0;2;3;1;A01
2,016E+11;1;7;0;0;2;1;13;B02
2,016E+11;0;36;0;0;2;7;19;A01
2,016E+11;1;7;0;0;2;8;0;B02
2,016E+11;0;7;0;13;0;1;1;A01
2,016E+11;0;7;0;0;9;2;9;A01
2,016E+11;0;2;0;0;2;1;1;B02
2,016E+11;1;7;0;0;0;1;1;A01
2,016E+11;0;7;0;0;1;1;17;A01
2,016E+11;0;7;0;1;0;0;1;A01
2,016E+11;0;33;0;0;2;2;1;B02
2,016E+11;0;7;0;0;2;2;10;A01
2,016E+11;0;31;0;0;2;1;1;B02
2,016E+11;0;10;0;0;2;2;15;A01
2,016E+11;1;7;0;2;0;1;1;A01
2,016E+11;0;7;0;0;1;3;0;A01
2,016E+11;2;7;0;0;0;3;1;A01
2,016E+11;0;7;0;8;0;2;1;A01
2,016E+11;0;7;0;0;2;3;1;B02
2,016E+11;0;7;0;0;2;3;1;A01
2,016E+11;0;7;0;13;0;1;1;A01
2,016E+11;0;7;0;13;0;2;1;A01
2,016E+11;0;7;0;6;0;9;0;A01
2,016E+11;0;2;0;8;0;1;0;A01
2,016E+11;2;17;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;1;13;A01
