Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
2,016E+11;16;5;26;1545;1;1;1;1;1;170;;M;5043661;266594;620
2,016E+11;16;7;28;1730;1;1;1;1;3;693;;M;5042766;256116;620
2,016E+11;16;10;9;345;5;2;1;1;3;793;rue de la mairie;M;5040897;264217;620
2,016E+11;16;10;12;845;1;2;1;1;6;443;rue Victor HUGO, D 188;M;5045134;263813;620
2,016E+11;16;11;6;1800;3;1;1;1;2;443;;M;5044119;264861;620
2,016E+11;16;6;29;530;1;2;1;1;7;176;CD939;M;5050084;169175;620
2,016E+11;16;9;21;2045;3;1;1;1;6;196;;M;5046792;172762;620
2,016E+11;16;6;30;1000;1;2;1;3;6;364;PLACE GENERAL DE GAULLE;M;5051336;213438;620
2,016E+11;16;12;3;1830;3;1;1;1;1;183;;M;5039100;185200;620
2,016E+11;16;6;9;1545;1;1;1;1;3;201;;M;5056319;160832;620
2,016E+11;16;10;8;1930;5;2;1;1;3;318;Avenue de Rombly;M;5051914;165263;620
2,016E+11;16;10;31;1430;1;2;1;1;6;318;76 bd de l imperatrice;M;5051284;163617;620
2,016E+11;16;1;31;1645;1;2;1;2;1;661;;M;5038209;198640;620
2,016E+11;16;5;29;1400;1;2;1;1;6;552;rue de widance;M;5040231;195488;620
2,016E+11;16;2;1;1430;1;1;1;6;1;14;;M;5063854;237240;620
2,016E+11;16;3;4;845;1;2;1;1;6;721;1753 rue de Warnes;M;5066079;235111;620
2,016E+11;16;4;26;2030;1;1;1;1;6;543;;M;5063352;233458;620
2,016E+11;16;5;29;1715;1;2;1;1;2;14;rue de l'industrie;M;5063946;241387;620
2,016E+11;16;5;27;1800;1;2;1;1;2;14;12 rue principale;M;5064055;237936;620
2,016E+11;16;10;31;600;5;2;1;5;6;684;CD943;M;5069175;236163;620
2,016E+11;16;12;13;1730;3;1;1;1;1;288;;M;5067508;226861;620
2,016E+11;16;12;15;1845;5;2;1;1;6;14;boulevard clémenceau;M;5064271;239789;620
2,016E+11;16;7;18;1515;1;2;1;1;6;55;rue de licques;M;5078184;198870;620
2,016E+11;16;1;14;1100;1;2;2;1;3;645;avenue Paul MACHY;M;5098005;205705;620
2,016E+11;16;2;13;1530;1;2;1;2;6;57;595 rue georges mauffait;M;5087464;208359;620
2,016E+11;16;2;23;1000;1;1;2;1;3;756;;M;5090450;213449;620
2,016E+11;16;11;3;1030;1;2;1;1;2;598;rue du communal;M;5084352;211443;620
2,016E+11;16;11;16;1330;1;1;1;1;3;614;;M;5083753;201821;620
2,016E+11;16;12;27;1830;3;2;1;8;1;393;480 avenue des jonquille;M;5091155;199296;620
2,016E+11;16;5;16;600;2;2;1;1;6;304;rue basse boulogne;M;5058827;224959;620
2,016E+11;16;9;11;930;1;1;1;1;6;569;;M;5064576;211773;620
2,016E+11;16;7;10;1715;1;1;1;1;5;803;;M;5072698;191392;620
2,016E+11;16;1;10;1415;1;2;1;9;6;767;4 reu de sains à FIEFS;M;0;0;620
2,016E+11;16;3;19;1215;1;2;1;1;3;767;rue de la calandre;M;5038339;233350;620
2,016E+11;16;4;4;145;3;2;1;3;6;451;36 rue d'Aire;M;5047815;227237;620
2,016E+11;16;4;13;1645;1;1;1;1;2;367;;M;5038327;232433;620
2,016E+11;16;4;16;200;5;2;1;1;1;767;Place Ml LECLERC CD941;M;5038117;233574;620
2,016E+11;16;4;15;2115;3;1;1;2;1;333;;M;5050450;231179;620
2,016E+11;16;4;17;1115;1;1;1;1;3;269;;M;5042827;243873;620
2,016E+11;16;6;6;1700;1;2;1;1;6;767;place louis lebel;M;5038178;233586;620
2,016E+11;16;7;8;1230;1;2;1;1;3;138;D 104 PR 25 + 400;M;5043041;217241;620
2,016E+11;16;7;29;1300;1;2;1;1;1;717;RD8;M;5036494;238799;620
2,016E+11;16;9;10;1045;1;1;1;1;6;835;;M;5043903;237041;620
